rounds,4,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Long Beach State,1,74.3,73.1,3,1507.21,20,11,64.52
Cal State Fullerton,2,70.5,67.1,4,1508.73,20,10,66.67
Hawaii,3,69.8,64.3,2,1426.41,17,11,60.71
UC Irvine,4,66.1,59.5,1,1460.35,15,10,60
UC Santa Barbara,5,74,65.6,2,1496.74,17,11,60.71
UC Riverside,6,66.6,63.6,1,1403.08,16,12,57.14
UC Davis,7,68.4,66.1,1,1373.88,13,11,54.17
Cal State Northridge,8,61.6,71.2,0,1145.22,7,23,23.33
Cal State Bakersfield,9,65,66.1,1,1190.43,9,19,32.14
Cal Poly,10,61.5,67.3,0,1171.89,7,21,25
