rounds,4,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Arizona,1,84.7,66.7,4,1934.27,30,3,90.91
UCLA,2,76.7,64.3,3,1836.32,25,6,80.65
USC,3,73.3,66,2,1767.73,26,7,78.79
Colorado,4,70.8,66.6,2,1667.91,21,11,65.63
Oregon,5,72.5,69.2,1,1637.92,19,14,57.58
Washington,6,70.9,72.5,1,1594.2,17,15,53.13
Washington State,7,72.1,65.1,1,1631.71,19,14,57.58
Arizona State,8,65.4,67.2,0,1616,14,17,45.16
Stanford,9,65.9,68.2,1,1542.22,16,16,50
California,10,63,66.1,0,1436.94,12,20,37.5
Utah,11,69.7,70.9,0,1425.49,11,20,35.48
Oregon State,12,68.3,78.1,0,1270.15,3,28,9.68
