rounds,5,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Auburn,1,79.3,67,2,1829.66,27,5,84.38
Tennessee,2,73.6,63.3,5,1929.52,25,7,78.13
Kentucky,3,80.1,65.7,3,1863.91,26,7,78.79
Arkansas,4,77.3,68.2,3,1834.58,25,8,75.76
LSU,5,73.2,62.9,2,1687.55,22,11,66.67
Alabama,6,80.1,76.2,1,1683.51,19,13,59.38
South Carolina,7,71.6,70.2,1,1612.12,18,13,58.06
Texas A&M,8,73.1,66.7,4,1732.42,23,11,67.65
Florida,9,70.5,65.5,1,1650.38,19,13,59.38
Mississippi State,10,71.2,66.7,2,1619.24,18,15,54.55
Vanderbilt,11,70,66.9,2,1623.27,17,16,51.52
Missouri,12,65.4,70.3,1,1488.27,12,21,36.36
Ole Miss,13,68.1,68.7,0,1448.67,13,19,40.63
Georgia,14,69.8,78.5,0,1301.54,6,26,18.75
