rounds,4,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Chattanooga,1,74.8,64.7,4,1661.16,26,7,78.79
Furman,2,77.6,68.7,3,1561.72,22,11,66.67
Samford,3,74.7,73.8,2,1514.5,21,11,65.63
Wofford,4,72.6,66.2,2,1511.15,19,13,59.38
Virginia Military,5,79.1,73.6,1,1389.59,16,15,51.61
UNC Greensboro,6,65,64.8,1,1449.33,17,14,54.84
Mercer,7,70.5,70.5,1,1388.38,16,17,48.48
East Tennessee State,8,72.1,73,0,1375.89,15,17,46.88
Citadel,9,76.8,76.8,1,1355.28,13,18,41.94
Western Carolina,10,70.7,77.2,0,1289.52,11,21,34.38
