rounds,5,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Davidson,1,75.8,66,4,1724.65,27,5,84.38
Dayton,2,69.1,60.6,3,1687.1,23,10,69.7
VCU,3,66.1,60.8,2,1720.18,21,9,70
St. Bonaventure,4,70.6,66.6,2,1714.15,20,9,68.97
Saint Louis,5,77.5,67.9,3,1672.68,23,11,67.65
Richmond,6,72.2,69.1,5,1724.17,22,12,64.71
George Washington,7,67.7,71.9,1,1393.01,12,18,40
Fordham,8,66.8,67.1,2,1462.98,16,16,50
George Mason,9,71.5,69,1,1453.5,14,16,46.67
Massachusetts,10,75,77.8,2,1499.35,15,17,46.88
Rhode Island,11,67.4,65,1,1397.82,15,16,48.39
La Salle,12,68.1,71.6,1,1394.71,11,19,36.67
Saint Joseph's,13,67.6,69.1,0,1342.32,11,19,36.67
Duquesne,14,65.2,73.4,0,1238.49,6,24,20
