rounds,4,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Colgate,1,76.1,67.1,4,1627.64,22,11,66.67
Navy,2,65,60.1,3,1486.19,21,10,67.74
Boston University,3,71.3,67.4,2,1434.9,21,12,63.64
Lehigh,4,68.4,71.4,2,1322.62,13,19,40.63
Army,5,70.4,70.4,1,1289.52,15,16,48.39
Loyola (MD),6,66.1,65.7,1,1264.89,14,16,46.67
Holy Cross,7,65.2,70.7,0,1198.03,9,22,29.03
Lafayette,8,67.8,72.8,0,1251.48,10,20,33.33
Bucknell,9,71.2,79.4,1,1263.14,9,23,28.13
American University,10,63.5,70.9,1,1245.05,10,22,31.25
