rounds,5,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
New Mexico State,1,73.5,65.3,5,1657.03,25,6,80.65
Seattle,2,74.7,66.3,3,1493.23,23,9,71.88
Stephen F. Austin,3,75.2,67.8,2,1586.18,23,9,71.88
Grand Canyon,4,71.1,60.6,3,1587.9,23,8,74.19
Sam Houston State,5,68.9,62.8,2,1486.26,19,14,57.58
Abilene Christian,6,77.1,66.2,4,1566.79,23,9,71.88
Utah Valley,7,71.2,65.1,1,1454.03,20,12,62.5
California Baptist,8,71,67.3,1,1354.42,18,15,54.55
Texas-RGV,9,71.4,78.6,0,1154.95,8,24,25
Chicago State,10,62.1,74.4,0,1149.91,7,25,21.88
