rounds,5,,,,,,,
reseeds,,,,,,,,
name,seed,ppg,oppg,advances,elo,wins,losses,pct
Gonzaga,1,87.8,65.3,5,1909.15,25,3,89.29
Saint Mary's,2,69.8,60.5,4,1779.01,25,6,80.65
Santa Clara,3,78.1,72.2,3,1596.92,21,11,65.63
San Francisco,4,77.1,67,3,1648.07,24,9,72.73
Brigham Young,5,73.7,67.9,2,1611.24,22,10,68.75
Portland,6,73.9,72,2,1446.1,18,14,56.25
San Diego,7,65.8,67.3,1,1380.25,15,16,48.39
Loyola Marymount,8,69.3,74.1,1,1363.82,11,18,37.93
Pacific,9,65.9,72.7,0,1244.75,8,22,26.67
Pepperdine,10,68.2,77.5,0,1241.78,7,25,21.88
